support_adr;position;support_tower;L;X;Y;Z
long_name_IDR7560;49;IDR7560.tower;0.0;0.0;0.0;68.293
long_name_IDR7560;56;IDR7560.tower;7.257;0.0;7.257;52.938
long_name_IDR7560;51;IDR7560.tower;16.505;0.0;16.505;70.532
long_name_IDR4436;33;IDR4436.tower;0.0;0.0;0.0;54.436
long_name_IDR4436;9;IDR4436.tower;0.0;0.0;0.0;5.93
long_name_IDR4436;4;IDR4436.tower;0.0;3.942;0.0;19.356
long_name_IDR4436;43;IDR4436.tower;5.617;4.423;5.617;13.728
long_name_IDR4436;21;IDR4436.tower;13.249;0.0;13.249;24.5
long_name_IDR4436;41;IDR4436.tower;11.073;0.0;11.073;11.181
long_name_IDR4436;48;IDR4436.tower;12.167;0.0;12.167;62.36
long_name_IDR4436;25;IDR4436.tower;0.0;0.0;0.0;55.717
long_name_IDR1423;43;IDR1423.tower;0.0;1.925;0.0;20.69
long_name_IDR1423;48;IDR1423.tower;4.387;1.041;4.387;10.017
long_name_IDR1423;26;IDR1423.tower;15.408;2.113;15.408;39.469
long_name_IDR1423;34;IDR1423.tower;11.774;0.0;11.774;6.707
long_name_IDR1423;0;IDR1423.tower;8.821;2.608;8.821;75.262
long_name_IDR1423;7;IDR1423.tower;0.0;0.0;0.0;43.035
long_name_IDR1423;50;IDR1423.tower;0.0;1.885;0.0;68.672
long_name_IDR1423;29;IDR1423.tower;0.0;2.513;0.0;5.86
long_name_IDR1423;19;IDR1423.tower;18.69;1.921;18.69;15.323
long_name_IDR1423;27;IDR1423.tower;0.0;0.0;0.0;13.514
long_name_IDR1423;15;IDR1423.tower;16.596;0.0;16.596;31.964
long_name_IDR1423;42;IDR1423.tower;0.0;0.0;0.0;63.569
long_name_IDR1423;54;IDR1423.tower;0.0;0.0;0.0;14.482
long_name_IDR1423;57;IDR1423.tower;7.884;2.344;7.884;37.361
long_name_IDR1423;20;IDR1423.tower;15.464;2.845;15.464;50.386
long_name_IDR1423;57;IDR1423.tower;1.987;0.0;1.987;28.913
long_name_IDR1423;27;IDR1423.tower;0.0;0.0;0.0;36.543
long_name_IDR6223;14;IDR6223.tower;0.0;0.0;0.0;71.852
long_name_IDR6223;1;IDR6223.tower;0.0;4.254;0.0;34.406
long_name_IDR6223;50;IDR6223.tower;6.914;2.361;6.914;21.602
long_name_IDR6223;16;IDR6223.tower;5.492;0.0;5.492;59.401
long_name_IDR6223;35;IDR6223.tower;0.0;4.651;0.0;61.248
long_name_IDR6223;34;IDR6223.tower;0.0;1.137;0.0;67.602
long_name_IDR6223;0;IDR6223.tower;19.699;0.0;19.699;74.846
long_name_IDR6223;36;IDR6223.tower;0.0;4.56;0.0;24.742
long_name_IDR6223;52;IDR6223.tower;0.0;0.0;0.0;77.537
long_name_IDR6223;16;IDR6223.tower;0.0;0.0;0.0;50.393
long_name_IDR6223;31;IDR6223.tower;0.0;4.576;0.0;47.354
long_name_IDR0876;18;IDR0876.tower;12.454;0.0;12.454;61.387
long_name_IDR0876;56;IDR0876.tower;0.0;3.444;0.0;9.321
long_name_IDR0876;45;IDR0876.tower;0.0;0.0;0.0;48.369
long_name_IDR0876;17;IDR0876.tower;0.0;0.0;0.0;41.269
long_name_IDR0876;51;IDR0876.tower;6.387;1.559;6.387;71.331
long_name_IDR9598;1;IDR9598.tower;1.483;3.19;1.483;9.388
long_name_IDR9598;5;IDR9598.tower;0.0;0.0;0.0;38.342
long_name_IDR9598;32;IDR9598.tower;0.0;0.0;0.0;43.068
long_name_IDR9598;10;IDR9598.tower;15.186;0.0;15.186;24.089
long_name_IDR1365;22;IDR1365.tower;1.844;4.216;1.844;12.515
long_name_IDR5208;40;IDR5208.tower;0.0;0.0;0.0;58.698
long_name_IDR5208;24;IDR5208.tower;15.303;2.312;15.303;31.331
long_name_IDR5208;31;IDR5208.tower;8.37;0.0;8.37;62.764
long_name_IDR5208;15;IDR5208.tower;13.045;0.0;13.045;50.097
long_name_IDR5208;57;IDR5208.tower;7.865;0.0;7.865;21.397
long_name_IDR5208;31;IDR5208.tower;11.76;0.0;11.76;33.283
long_name_IDR5208;58;IDR5208.tower;5.986;3.981;5.986;61.096
long_name_IDR5208;13;IDR5208.tower;14.533;3.927;14.533;8.191
long_name_IDR5208;33;IDR5208.tower;10.322;0.0;10.322;65.139
long_name_IDR5208;17;IDR5208.tower;0.0;2.394;0.0;35.659
long_name_IDR0015;42;IDR0015.tower;0.0;2.428;0.0;69.643
long_name_IDR0015;29;IDR0015.tower;16.871;0.0;16.871;38.976
long_name_IDR0015;49;IDR0015.tower;19.942;0.0;19.942;60.217
long_name_IDR0015;40;IDR0015.tower;10.496;2.038;10.496;24.367
long_name_IDR1861;5;IDR1861.tower;0.0;1.206;0.0;57.746
long_name_IDR1861;14;IDR1861.tower;0.0;0.0;0.0;29.162
long_name_IDR1861;29;IDR1861.tower;15.584;0.0;15.584;74.879
long_name_IDR1861;6;IDR1861.tower;0.0;4.392;0.0;12.262
long_name_IDR1861;23;IDR1861.tower;0.0;1.01;0.0;79.659
long_name_IDR1861;58;IDR1861.tower;0.0;0.0;0.0;67.419
long_name_IDR1861;53;IDR1861.tower;0.0;0.0;0.0;52.052
long_name_IDR1861;22;IDR1861.tower;0.0;0.0;0.0;52.106
long_name_IDR1861;32;IDR1861.tower;7.658;4.345;7.658;13.387
long_name_IDR1861;45;IDR1861.tower;13.759;0.0;13.759;15.31
long_name_IDR1529;56;IDR1529.tower;0.0;0.0;0.0;10.105
long_name_IDR1529;24;IDR1529.tower;13.405;0.0;13.405;6.956
long_name_IDR1529;12;IDR1529.tower;8.326;4.996;8.326;14.443
long_name_IDR1529;29;IDR1529.tower;0.0;0.0;0.0;66.64
long_name_IDR1529;41;IDR1529.tower;0.0;0.0;0.0;18.167
long_name_IDR1529;59;IDR1529.tower;0.0;0.0;0.0;78.923
long_name_IDR1529;0;IDR1529.tower;0.0;4.737;0.0;31.384
long_name_IDR9182;14;IDR9182.tower;16.97;0.0;16.97;31.633
long_name_IDR9182;7;IDR9182.tower;7.597;4.262;7.597;63.01
long_name_IDR9182;0;IDR9182.tower;16.233;2.639;16.233;50.174
long_name_IDR9182;36;IDR9182.tower;5.441;0.0;5.441;58.0
long_name_IDR9182;60;IDR9182.tower;12.942;0.0;12.942;74.402
long_name_IDR9182;39;IDR9182.tower;0.0;0.0;0.0;72.49
long_name_IDR9182;49;IDR9182.tower;0.0;0.0;0.0;66.594
long_name_IDR9182;45;IDR9182.tower;0.0;0.0;0.0;40.628
long_name_IDR9182;1;IDR9182.tower;0.0;0.0;0.0;11.98
long_name_IDR9182;21;IDR9182.tower;0.0;3.675;0.0;8.923
long_name_IDR9182;0;IDR9182.tower;10.174;1.847;10.174;13.698
long_name_IDR9182;42;IDR9182.tower;12.465;0.0;12.465;42.805
long_name_IDR9182;3;IDR9182.tower;4.199;3.644;4.199;42.154
long_name_IDR9182;53;IDR9182.tower;1.961;3.497;1.961;59.427
long_name_IDR9182;38;IDR9182.tower;12.341;2.136;12.341;48.135
long_name_IDR9182;7;IDR9182.tower;0.0;0.0;0.0;26.699
