cable_id;name;diameter;section;dilatation_coefficient;young_modulus;linear_mass;temperature_reference;section_conductor;stress_strain_a0;stress_strain_a1;stress_strain_a2;stress_strain_a3;stress_strain_a4;section_heart;stress_strain_b0;stress_strain_b1;stress_strain_b2;stress_strain_b3;stress_strain_b4;electric_resistance_20;linear_resistance_temperature_coef;has_magnetic_heart;diameter_heart;emissivity;solar_absorption;radial_thermal_conductivity;is_polynomial;is_bimetallic;rts_cable;rts_layer_1;nb_strand_layer_1;rts_layer_2;nb_strand_layer_2;rts_layer_3;nb_strand_layer_3;rts_layer_4;nb_strand_layer_4;rts_layer_5;nb_strand_layer_5;rts_layer_6;nb_strand_layer_6;rts_layer_7;nb_strand_layer_7;rts_layer_8;nb_strand_layer_8;safety_coefficient
199EDA7149D26614E043C0C46D2E6614;ACIER 60 N;10.0;60.0;1.15e-05;170000;0.495;15;60.0;0;170000.0;0;0;0;0.0;0;0;0;0;0;1.4837;0.0045;False;0.0;0.8;0.9;1;False;False;64800;4398.0;12.0;4398.0;6.0;0.0;;0.0;;0.0;;0.0;;0.0;;4398.0;1.0;1.5
199EDA7149D16614E043C0C46D2E6614;ACIER 48,3 N;9.0;48.3;1.15e-05;170000;0.384;15;48.3;0;170000.0;0;0;0;0.0;0;0;0;0;0;1.8317;0.0045;False;0.0;0.8;0.9;1;False;False;52200;3562.0;12.0;3562.0;6.0;0.0;;0.0;;0.0;;0.0;;0.0;;3562.0;1.0;1.5
199EDA7149D76614E043C0C46D2E6614;ACIER 181,6 R;17.5;181.6;1.15e-05;170000;1.489;15;181.6;0;170000.0;0;0;0;0.0;0;0;0;0;0;0.4888;0.0045;False;0.0;0.8;0.9;1;False;False;247700;8099.0;18.0;8099.0;12.0;8099.0;6.0;0.0;;0.0;;0.0;;0.0;;80990.0;1.0;1.5
199EDA7149D66614E043C0C46D2E6614;ACIER 148,1 R;15.75;148.1;1.15e-05;170000;1.214;15;148.1;0;170000.0;0;0;0;0.0;0;0;0;0;0;0.5981;0.0045;False;0.0;0.8;0.9;1;False;False;206600;12469.0;12.0;12469.0;6.0;0.0;;0.0;;0.0;;0.0;;0.0;;124690.0;1.0;1.5
199EDA7149D56614E043C0C46D2E6614;ACIER 130 R;14.75;130.0;1.15e-05;170000;1.07;15;130.0;0;170000.0;0;0;0;0.0;0;0;0;0;0;0.682;0.0045;False;0.0;0.8;0.9;1;False;False;181400;11278.0;12.0;11278.0;6.0;0.0;;0.0;;0.0;;0.0;;0.0;;112780.0;1.0;1.5
199EDA7149D46614E043C0C46D2E6614;ACIER 120 R;14.25;120.0;1.15e-05;170000;0.98;15;120.0;0;170000.0;0;0;0;0.0;0;0;0;0;0;0.7303;0.0045;False;0.0;0.8;0.9;1;False;False;167400;10526.0;12.0;10526.0;6.0;0.0;;0.0;;0.0;;0.0;;0.0;;105260.0;1.0;1.5
199EDA7149D36614E043C0C46D2E6614;ACIER 100 R;13.0;100.0;1.15e-05;170000;0.82;15;100.0;0;170000.0;0;0;0;0.0;0;0;0;0;0;0.8779;0.0045;False;0.0;0.8;0.9;1;False;False;139500;8760.0;12.0;8760.0;6.0;0.0;;0.0;;0.0;;0.0;;0.0;;87600.0;1.0;1.5
199EDA7149D96614E043C0C46D2E6614;ACIER 80 R;11.6;80.0;1.15e-05;170000;0.66;15;80.0;0;170000.0;0;0;0;0.0;0;0;0;0;0;1.1026;0.0045;False;0.0;0.8;0.9;1;False;False;111600;6975.0;12.0;6975.0;6.0;0.0;;0.0;;0.0;;0.0;;0.0;;69750.0;1.0;1.5
199EDA7149D86614E043C0C46D2E6614;ACIER 70 R;10.8;70.0;1.15e-05;170000;0.575;15;70.0;0;170000.0;0;0;0;0.0;0;0;0;0;0;1.272;0.0045;False;0.0;0.8;0.9;1;False;False;97700;6229.0;12.0;6229.0;6.0;0.0;;0.0;;0.0;;0.0;;0.0;;62290.0;1.0;1.5
4676E37B51F011DB968F0002A5291888;ACIER 60 R;10.0;60.0;1.15e-05;170000;0.495;15;60.0;0;170000.0;0;0;0;0.0;0;0;0;0;0;1.4837;0.0045;False;0.0;0.8;0.9;1;False;False;83400;5341.0;12.0;5341.0;6.0;0.0;;0.0;;0.0;;0.0;;0.0;;53410.0;1.0;1.5
199EDA7149DE6614E043C0C46D2E6614;ASTER 1600;52.0;1595.9;2.3e-05;50500;4.602;15;1595.9;0;50500.0;0;0;0;0.0;0;0;0;0;0;0.0206;0.0036;False;0.0;0.8;0.9;1;False;False;502700;3958.0;36.0;3958.0;30.0;3958.0;24.0;3958.0;18.0;3958.0;12.0;3958.0;6.0;0.0;;3958.0;1.0;1.5
199EDA7149DC6614E043C0C46D2E6614;ASTER 1144;44.0;1143.51;2.3e-05;52500;3.278;15;1143.51;0;52500.0;0;0;0;0.0;0;0;0;0;0;0.0292;0.0036;False;0.0;0.8;0.9;1;False;False;360200;3958.0;30.0;3958.0;24.0;3958.0;18.0;3958.0;12.0;3958.0;6.0;0.0;;0.0;;3958.0;1.0;1.5
199EDA7149E56614E043C0C46D2E6614;ASTER 851;37.95;850.66;2.3e-05;52500;2.439;15;850.66;0;52500.0;0;0;0;0.0;0;0;0;0;0;0.0391;0.0036;False;0.0;0.8;0.9;1;False;False;276500;3038.0;30.0;3038.0;24.0;3038.0;18.0;3038.0;12.0;3038.0;6.0;0.0;;0.0;;3038.0;1.0;1.5
