chain_name;mean_length;mean_mass;v_chain;chain_type;chain_surface;uuid
BS19J9CE;2,15;335,83;False;suspension;0.0;ca80cf31-3629-4dd2-bb26-02123cee0fb8
23VFZZ1V;1,30;113,03;False;suspension;0.0;101403fb-26ef-4c9f-a655-42982b055589
IV/225;4,13;256,04;True;suspension;0.0;2a68ab10-bcdc-4bd1-9849-8289681ccd96
I0AFDDG;1,95;319,18;True;suspension;0.0;8d29370e-a4cc-4fdf-b977-38a807c6a4f7
IVIHYFI;1,53;119,26;True;suspension;0.0;c2f9cf4d-1870-4dc9-a529-e5e973973adb
XWSNX8SQ;2,51;378,88;False;anchor;0.0;dc5ea650-52a5-4b64-bb32-99d138a9f510
4X4QMLM4;4,32;137,49;False;suspension;0.0;3e1de86a-f711-400f-893c-5a92f9bf4bc0
5PXC8VEM;3,85;272,27;False;suspension;0.0;c7bb28c4-ed89-4db2-a92c-100a21e84b7c
0ZBDR83M;1,76;51,49;False;suspension;0.0;cc387855-b236-4279-8b71-81d00062bbd5
348OZ02Z;3,47;289,64;False;suspension;0.0;2221e683-c0f1-422f-a4cd-372293d30260
69QHDDRT;4,14;317,96;False;anchor;0.0;7271cc3e-44eb-4852-86eb-e3644a248fb9
I1GJSRB6;4,41;68,59;False;suspension;0.0;134456f8-7b78-4849-95c3-a813f4d8457f
XWKKMU4;4,12;156,76;True;anchor;0.0;1832e676-5ed9-4abd-9a90-c42364f615e3
XNT55WO;3,81;249,29;True;anchor;0.0;f57843a7-84ae-43c9-81e7-35bc3a7c9853
96YLEIAV;2,16;410,66;False;suspension;0.0;6487b18a-c7d0-4bd4-9d6c-09d8b03dd17b
1VMPVQHT;1,41;199,11;False;suspension;0.0;fce78f03-4933-4b79-8fbd-a26e85c4cf23
L436510K;3,68;318,28;False;suspension;0.0;f0679562-43ef-4f49-8870-98520a93e6d6
YD7S1F1L;3,66;107,64;False;suspension;0.0;76991f46-c1d9-4959-84e1-05ef4b401756
9V8ZN5VI;2,34;219,37;False;suspension;0.0;2c7c1eeb-ce16-496d-930b-57e95cd18575
RVUC8IU2;2,91;98,91;False;suspension;0.0;d80bdd63-08df-4d58-b262-12e0731682fb
IV/225;3,93;110,38;True;anchor;0.0;258d08b9-28e7-464c-8b9a-8a099e2f53c0
E522DB02;2,99;177,57;False;suspension;0.0;8b6feac4-1816-4415-8883-02977b64b9ee
RDTJ8ICW;2,20;334,74;False;suspension;0.0;686e8017-2959-49a9-bd42-71d6c79b8041
IV/90;2,16;164,18;True;suspension;0.0;1e39d81e-c863-45e4-8beb-2d2394b1e55c
2WE5OYQN;4,14;284,52;False;suspension;0.0;24a0286a-825f-4d82-8e3f-5766bdb66c59
FJX81IDB;1,24;196,41;False;suspension;0.0;1597357a-d40c-487b-a6a5-ae6c3f3f366a
6LDV39TN;1,33;265,96;True;suspension;0.0;f86b3219-bfe6-4008-8457-dcb5d2b00b9b
28VPTGD7;4,29;133,23;False;suspension;0.0;c514ba4e-01c8-4df8-bd66-b1152a83373c
5ZTAZGJC;3,80;342,28;False;suspension;0.0;b030df7b-d515-48f0-9338-f54561254562
HJKKPYN0;3,96;425,42;False;suspension;0.0;8248ff3c-4a36-4ded-997f-b746f3866b8c
