link_idr;link_adr;lit_idr;lit_adr;branch_id;branch_idr;branch_adr;voltage_idr;voltage_adr
CFVCFL33BISGQ;long_CFVCFL33BISGQ;CFVCFL33BISGQ;long_CFVCFL33BISGQ;00ecca56-08d3-4164-9348-93efb7561cca;CFVCFL33BISGQ00;long_CFVCFL33BISGQ00;63 KV;long_63 KV
CFVCFL33BISGQ;long_CFVCFL33BISGQ;CFVCFL33BISGQ;long_CFVCFL33BISGQ;f5df94a3-9c3a-4fb4-b474-683dfdbe9f32;CFVCFL33BISGQ01;long_CFVCFL33BISGQ01;63 KV;long_63 KV
JQPOXL32PXOXB;long_JQPOXL32PXOXB;JQPOXL32PXOXB;long_JQPOXL32PXOXB;f08ddf38-6710-48a4-87ad-4014017a509a;JQPOXL32PXOXB00;long_JQPOXL32PXOXB00;63 KV;long_63 KV
JQPOXL32PXOXB;long_JQPOXL32PXOXB;JQPOXL32PXOXB;long_JQPOXL32PXOXB;e9f23166-b11e-439b-8a03-ac05d63c0549;JQPOXL32PXOXB01;long_JQPOXL32PXOXB01;63 KV;long_63 KV
AQWPUL32ACHPA;long_AQWPUL32ACHPA;AQWPUL32ACHPA;long_AQWPUL32ACHPA;88269dd1-4bd2-4565-ada4-375b070e8f9c;AQWPUL32ACHPA00;long_AQWPUL32ACHPA00;63 KV;long_63 KV
AQWPUL32ACHPA;long_AQWPUL32ACHPA;AQWPUL32ACHPA;long_AQWPUL32ACHPA;0c21fd9f-d2c5-4245-810e-d58ad9ef4ecd;AQWPUL32ACHPA01;long_AQWPUL32ACHPA01;63 KV;long_63 KV
FSKGSL52YCBBC;long_FSKGSL52YCBBC;FSKGSL52YCBBC;long_FSKGSL52YCBBC;7fd0bb62-b6f3-4781-a936-553e0f39697e;FSKGSL52YCBBC00;long_FSKGSL52YCBBC00;400 KV;long_400 KV
OJCSHL31LWNGA;long_OJCSHL31LWNGA;OJCSHL31LWNGA;long_OJCSHL31LWNGA;eb02a23e-cc95-4710-a670-db9e5e215433;OJCSHL31LWNGA00;long_OJCSHL31LWNGA00;63 KV;long_63 KV
OJCSHL31LWNGA;long_OJCSHL31LWNGA;OJCSHL31LWNGA;long_OJCSHL31LWNGA;c80768ae-5eb3-4299-b399-167daabea629;OJCSHL31LWNGA01;long_OJCSHL31LWNGA01;63 KV;long_63 KV
ROHPWL52KKNRC;long_ROHPWL52KKNRC;ROHPWL52KKNRC;long_ROHPWL52KKNRC;c5cbfa0a-ded8-4812-a1d9-5fad2b350536;ROHPWL52KKNRC00;long_ROHPWL52KKNRC00;400 KV;long_400 KV
ROHPWL52KKNRC;long_ROHPWL52KKNRC;ROHPWL52KKNRC;long_ROHPWL52KKNRC;eab65daa-34c3-40a4-a243-a7708b11f08c;ROHPWL52KKNRC01;long_ROHPWL52KKNRC01;400 KV;long_400 KV
CKGBHL54KUUDW;long_CKGBHL54KUUDW;CKGBHL54KUUDW;long_CKGBHL54KUUDW;8e1c79da-395d-4e44-ba77-42089388293e;CKGBHL54KUUDW00;long_CKGBHL54KUUDW00;400 KV;long_400 KV
JYMYDL31EIRBY;long_JYMYDL31EIRBY;JYMYDL31EIRBY;long_JYMYDL31EIRBY;be797cba-9009-4b1c-82b8-7279e288c402;JYMYDL31EIRBY00;long_JYMYDL31EIRBY00;63 KV;long_63 KV
JYMYDL31EIRBY;long_JYMYDL31EIRBY;JYMYDL31EIRBY;long_JYMYDL31EIRBY;ad665df2-9e9d-4b7b-b15a-71e1a4aed5d2;JYMYDL31EIRBY01;long_JYMYDL31EIRBY01;63 KV;long_63 KV
RTPSAL31RFDYE;long_RTPSAL31RFDYE;RTPSAL31RFDYE;long_RTPSAL31RFDYE;f06efe50-a8e1-4bcb-adf0-54d6663d721e;RTPSAL31RFDYE00;long_RTPSAL31RFDYE00;63 KV;long_63 KV
RTPSAL31RFDYE;long_RTPSAL31RFDYE;RTPSAL31RFDYE;long_RTPSAL31RFDYE;8600e284-8fbe-4077-9bfb-75205b9e3225;RTPSAL31RFDYE01;long_RTPSAL31RFDYE01;63 KV;long_63 KV
UDBXOL52XAZAU;long_UDBXOL52XAZAU;UDBXOL52XAZAU;long_UDBXOL52XAZAU;5d4ce285-198e-449a-9d52-ec87ad3b18ca;UDBXOL52XAZAU00;long_UDBXOL52XAZAU00;400 KV;long_400 KV
